,comuna,poblacion,fecha,year
0,Comuna 1,252053.0,31/12/2016,2016
1,Comuna 2,149848.0,31/12/2016,2016
2,Comuna 3,192573.0,31/12/2016,2016
3,Comuna 4,238303.0,31/12/2016,2016
4,Comuna 5,186740.0,31/12/2016,2016
5,Comuna 6,184611.0,31/12/2016,2016
6,Comuna 7,240116.0,31/12/2016,2016
7,Comuna 8,225737.0,31/12/2016,2016
8,Comuna 9,170353.0,31/12/2016,2016
9,Comuna 10,170163.0,31/12/2016,2016
10,Comuna 11,189956.0,31/12/2016,2016
11,Comuna 12,213576.0,31/12/2016,2016
12,Comuna 13,235819.0,31/12/2016,2016
13,Comuna 14,226884.0,31/12/2016,2016
14,Comuna 15,182390.0,31/12/2016,2016
15,Comuna 1,253271.0,31/12/2017,2017
16,Comuna 2,149720.0,31/12/2017,2017
17,Comuna 3,192763.0,31/12/2017,2017
18,Comuna 4,238809.0,31/12/2017,2017
19,Comuna 5,186956.0,31/12/2017,2017
20,Comuna 6,184846.0,31/12/2017,2017
21,Comuna 7,240607.0,31/12/2017,2017
22,Comuna 8,226649.0,31/12/2017,2017
23,Comuna 9,170605.0,31/12/2017,2017
24,Comuna 10,170282.0,31/12/2017,2017
25,Comuna 11,189986.0,31/12/2017,2017
26,Comuna 12,213914.0,31/12/2017,2017
27,Comuna 13,235967.0,31/12/2017,2017
28,Comuna 14,226944.0,31/12/2017,2017
29,Comuna 15,182409.0,31/12/2017,2017
30,Comuna 1,254408.0,31/12/2018,2018
31,Comuna 2,149607.0,31/12/2018,2018
32,Comuna 3,192945.0,31/12/2018,2018
33,Comuna 4,239279.0,31/12/2018,2018
34,Comuna 5,187159.0,31/12/2018,2018
35,Comuna 6,185067.0,31/12/2018,2018
36,Comuna 7,241065.0,31/12/2018,2018
37,Comuna 8,227495.0,31/12/2018,2018
38,Comuna 9,170842.0,31/12/2018,2018
39,Comuna 10,170394.0,31/12/2018,2018
40,Comuna 11,190016.0,31/12/2018,2018
41,Comuna 12,214229.0,31/12/2018,2018
42,Comuna 13,236107.0,31/12/2018,2018
43,Comuna 14,227003.0,31/12/2018,2018
44,Comuna 15,182427.0,31/12/2018,2018
45,Comuna 1,255457.0,31/12/2019,2019
46,Comuna 2,149510.0,31/12/2019,2019
47,Comuna 3,193115.0,31/12/2019,2019
48,Comuna 4,239712.0,31/12/2019,2019
49,Comuna 5,187348.0,31/12/2019,2019
50,Comuna 6,185271.0,31/12/2019,2019
51,Comuna 7,241484.0,31/12/2019,2019
52,Comuna 8,228266.0,31/12/2019,2019
53,Comuna 9,171062.0,31/12/2019,2019
54,Comuna 10,170497.0,31/12/2019,2019
55,Comuna 11,190046.0,31/12/2019,2019
56,Comuna 12,214518.0,31/12/2019,2019
57,Comuna 13,236238.0,31/12/2019,2019
58,Comuna 14,227060.0,31/12/2019,2019
59,Comuna 15,182445.0,31/12/2019,2019
60,Comuna 1,256405.0,31/12/2020,2020
61,Comuna 2,149430.0,31/12/2020,2020
62,Comuna 3,193276.0,31/12/2020,2020
63,Comuna 4,240100.0,31/12/2020,2020
64,Comuna 5,187518.0,31/12/2020,2020
65,Comuna 6,185456.0,31/12/2020,2020
66,Comuna 7,241861.0,31/12/2020,2020
67,Comuna 8,228953.0,31/12/2020,2020
68,Comuna 9,171264.0,31/12/2020,2020
69,Comuna 10,170592.0,31/12/2020,2020
70,Comuna 11,190076.0,31/12/2020,2020
71,Comuna 12,214777.0,31/12/2020,2020
72,Comuna 13,236358.0,31/12/2020,2020
73,Comuna 14,227115.0,31/12/2020,2020
74,Comuna 15,182465.0,31/12/2020,2020
75,Comuna 1,257235.0,31/12/2021,2021
76,Comuna 2,149371.0,31/12/2021,2021
77,Comuna 3,193425.0,31/12/2021,2021
78,Comuna 4,240437.0,31/12/2021,2021
79,Comuna 5,187670.0,31/12/2021,2021
80,Comuna 6,185620.0,31/12/2021,2021
81,Comuna 7,242188.0,31/12/2021,2021
82,Comuna 8,229541.0,31/12/2021,2021
83,Comuna 9,171444.0,31/12/2021,2021
84,Comuna 10,170677.0,31/12/2021,2021
85,Comuna 11,190105.0,31/12/2021,2021
86,Comuna 12,215002.0,31/12/2021,2021
87,Comuna 13,236468.0,31/12/2021,2021
88,Comuna 14,227168.0,31/12/2021,2021
89,Comuna 15,182485.0,31/12/2021,2021
